,name,product,kind,date,month,represent,region
0, 엔에이치스팩31호,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,서울특별시
1, SK증권제13호스팩,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,서울특별시
2, 엑셀세라퓨틱스,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,서울특별시
3, 이베스트스팩6호,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,서울특별시
4, 시프트업,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,서울특별시
5, 하스,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,강원특별자치도
6, 이노스페이스,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,세종특별자치시
7, 신한글로벌액티브리츠,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,서울특별시
8, 에이치브이엠,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,경기도
9, 팡스카이,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,서울특별시
10, 하이젠알앤엠,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,경상남도
11, 한국제15호스팩,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,서울특별시
12, 에스오에스랩,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,광주광역시
13, 미래에셋비전스팩6호,금융 지원 서비스업,기업인수합병,2024-06-24,12월,정명훈,서울특별시
14, 에이치엠씨제7호스팩,금융 지원 서비스업,기타금융,2024-06-24,12월,강신명,서울특별시
15, 파라다이스,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트",2024-06-24,12월,최종환..,서울특별시
16, 한중엔시에스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수냉식 냉각시스템 ESS Parts, 공랭식 ESS Module Parts, EV Module 및 내연기관 Parts",2024-06-24,12월,김환식,경상북도
17, KB제29호스팩,금융 지원 서비스업,기업인수합병,2024-06-21,12월,서영화,서울특별시
18, 미래에셋비전스팩5호,금융 지원 서비스업,기업인수합병,2024-06-19,12월,김대호,서울특별시
19, 씨어스테크놀로지,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션,2024-06-19,12월,이영신,경기도
20, 한국제14호스팩,금융 지원 서비스업,기업인수합병,2024-06-19,12월,변성환,서울특별시
21, 디비금융스팩12호,기타 금융업,기업인수 및 합병,2024-06-18,12월,김창희,서울특별시
22, 라메디텍,의료용 기기 제조업,초소형 레이저 의료기기  및 미용기기,2024-06-17,12월,최종석,서울특별시
23, 그리드위즈,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등",2024-06-14,12월,김구환,경기도
24, 다원넥스뷰,사진장비 및 광학기기 제조업,LSMB(Laser Micro Bonding System),2024-06-11,12월,남기중,경기도
25, 미래에셋비전스팩4호,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2024-05-29,12월,김정수,서울특별시
26, 노브랜드,편조의복 제조업,"Knit, Woven 의류",2024-05-23,12월,이상규,서울특별시
27, KB제28호스팩,금융 지원 서비스업,기업인수합병,2024-05-17,12월,고광범,서울특별시
28, 아이씨티케이,반도체 제조업,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발",2024-05-17,12월,이정원,서울특별시
29, HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",2024-05-08,12월,이기동,부산광역시
30, SK증권제12호스팩,금융 지원 서비스업,기업인수목적 주식회사,2024-05-07,12월,이재혁,서울특별시
31, 코칩,전자부품 제조업,소형 및 초소형 슈퍼커패시터,2024-05-07,12월,손진형,경기도
32, 민테크,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","배터리 진단시스템, 배터리 시스템, 충방전 검사장비",2024-05-03,12월,홍영진,대전광역시
33, 카티스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",산업인프라 보안플랫폼,2024-05-03,12월,김승수,경기도
34, 디앤디파마텍,자연과학 및 공학 연구개발업,대사성질환 치료제 등,2024-05-02,12월,이슬기,경기도
35, 유안타제16호스팩,금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),2024-05-02,12월,박병권,서울특별시
36, 제일엠앤에스,특수 목적용 기계 제조업,2차전지 믹싱시스템,2024-04-30,12월,이영진,경기도
37, 삐아,기타 화학제품 제조업,색조화장품,2024-04-25,12월,박광춘,인천광역시
38, 하나33호스팩,금융 지원 서비스업,기업인수합병,2024-04-24,12월,박태한,서울특별시
39, 신한제13호스팩,금융 지원 서비스업,기타금융서비스(기업합병),2024-04-22,12월,배성환,서울특별시
