,title,link,image,author,discount,publisher,pubdate,isbn,description
0,다시 시작하는 투자 (진짜 전문가가 말하는 도시계획의 비밀),https://search.shopping.naver.com/book/catalog/48078689620,https://shopping-phinf.pstatic.net/main_4807868/48078689620.20240531103716.jpg,엄재웅(서경파파),15120,아시아,20240530,9791156627098,"“왜 옆 동네 재개발 재건축만 빨리 진행될까?”
답은 도시계획에 있다!

『다시 시작하는 투자』는 투자자들을 위한 실용적이고 현실적인 가이드다. 엄재웅 작가는 외국계 부동산 컨설팅 회사에서 익힌 컨설팅 경험을 바탕으로 이 책을 썼다.  투자 아이디어 수립, 매매, 개발, 도시 재생 등 부동산의 모든 측면을 이 책에서 다룬다.
현장에서 검증된 투자 경험을 수록했으며 효과적으로 평생 써먹을 수 있는 실질적인 노하우를 담았다. 투자자의 고민에 답하고 투자 성공 가능성을 높이는 이 책은 투자자와 내집 마련을 준비하는 모두에게 필수적인 지침서다."
1,월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),https://search.shopping.naver.com/book/catalog/32869625640,https://shopping-phinf.pstatic.net/main_3286962/32869625640.20230927071202.jpg,너나위,17820,알에이치코리아,20220620,9788925578156,"“기회는 새롭게 탄생한다!”
월급쟁이에서 100억 자산가로 변신한
‘아는 선배’의 시스템 마련법

국가도 회사도 책임져주지 않는 현실을 자각한 평범한 월급쟁이가 치열하게 공부하고 공격적으로 투자해, 100억 자산가로 거듭났다. 10만 부 판매 돌파를 기념하여 ‘증보판’으로 출시되는 《월급쟁이 부자로 은퇴하라》의 저자 너나위의 이야기다.  

2019년 이 책이 출간되었을 당시만 해도 저자는 낮에는 일하고 밤에는 부동산 현장을 찾는 월급쟁이였으나, 투자 3년 만에 30년 치 연봉을 벌고 100억 자산가로 거듭나 이제는 진정한 ‘파이어족(Financial Independence Retire Early, FIRE)’이 되었다!
 자본주의 사회에서 투자로 얻는 수익을 불로소득(不勞所得)으로만 치부해 버린다면, 노인이 되어서도 생계를 위해 고된 일터로 내몰릴 수밖에 없다. 핵심은, 근로소득을 자본소득으로 바꾸어, 나 대신 일할 ‘시스템’을 마련하는 것! 이 책은 투자를 왜 해야 하는지, 평범한 직장인이 어떤 방향과 목표를 세우고 수입과 지출을 관리해야 하는지 알려주는 동시에 지금 당장 따라 할 수 있는 투자 매뉴얼을 통해, 현시점 누구라도 부동산 투자로 미래와 노후를 준비할 수 있게 돕는다. 

 증보판에는, 3년 전과 비교할 수 없을 정도로 달라진 부동산 시세와 세금 및 정책 변화 속에서 쏟아진 독자들의 FAQ에 관한 저자의 답변, 초판본에 공개했던 투자 물건에 대한 업데이트, 윤석열 정권에서 투자자들이 꼭 알아야 할 것들을 새롭게 담았다. 
 너나위는 증보판 특별 서문에서 묻는다. 모두가 투자자가 된 시대, 당신의 투자는 잘 되고 있느냐고, 너무 늦은 건 아닐까 조급해진 재린이들에겐 등을 토닥이며 말한다. 새로운 기회는 오늘도 탄생하고 있다고.                       

#월급쟁이부자들 #너나위 #아는선배 #신사임당 #파이어족"
2,결국엔 오르는 집값의 비밀 (고수가 알려주는 부동산 사이클의 법칙),https://search.shopping.naver.com/book/catalog/48598638619,https://shopping-phinf.pstatic.net/main_4859863/48598638619.20240622091055.jpg,김준영,18000,한국경제신문,20240627,9788947549608,"부동산, 최악은 지나고 상승만 남았다!
‘전세가’로 보는 집값 움직이는 원리

일명 ‘빨간 책’으로 불린 화제의 첫 책에 이은 저자의 5년 만의 신작
최신의 데이터로 무장한 투자의 완벽 비법!

부동산 스터디 모임에서 최고의 교과서로 손꼽히며 투자자라면 반드시 공부해야 한다고 소문이 자자했던 책(일명 ‘빨간책’으로 불린) 《부동산 투자 인사이트》의 저자 김준영이 5년 만에 두 번째 책으로 돌아왔다. 25년차 투자자이기도 하고 20년째 대구 텐인텐 운영진으로 수많은 칼럼을 써왔으며 더투자부동산연구회를 통해 수준 높은 강좌를 진행해온 저자는, 이번 책에서도 ‘집값을 해석하는 방법’에 대해 최고의 이론과 투자법을 선보인다.  

최근 몇 년간 부동산 시장은 전문가들조차 파악하기 어려울 정도로 변동성이 심한 장세를 보였다. 한마디로 집값을 예측하고 투자하는 게 쉽지 않은 환경이었다는 의미다. 저자는 이럴 때일수록 극심한 변동성을 일으킨 원인을 이해하고, 자산 본연의 가치가 얼마인지를 제대로 해석해 의사결정을 하는 것이 중요하다고 말한다.

이 책에서는 부동산 가격 변화의 원리가 공급과 수요에 따라 움직이는 ‘전세가’에 있다고 보고, 이를 토대로 현재 집값의 움직임과 앞으로의 변화 가능성을 상세히 예측해준다. 사실 우리 주택시장을 이해한다는 것은 전세가격, 전세수급, 전세가상승률 등에 담겨 있는 의미를 정확하게 해석하는 것이라도 해도 과언이 아니다. 전세라는 임대 형태가 주택 신규공급과 미분양에 크게 영향을 주고, 이것이 집값의 오르내림에 결정적 기능을 하기 때문이다. 

이 책은 이러한 전세가를 토대로 시장을 분석하면서, 그 외 최근 이슈가 되고 있는 금리나 정책 등을 어떻게 분석해야 할지도 명쾌하게 알려준다. 그리고 수도권과 지방별 가격 흐름의 차이를 통해 투자처에 따라 달라지는 투자방법을 비롯해, 지금 부동산 투자 시 각별히 유의해야 할 점들도 소개한다."
3,주택과 세금(2024) (취득 보유 임대 양도 상속 증여 관련 모든 세금 정리),https://search.shopping.naver.com/book/catalog/46951671619,https://shopping-phinf.pstatic.net/main_4695167/46951671619.20240411070900.jpg,국세청,6300,더존테크윌,20240409,9791163060987,"우리의 일상 생활과 밀접하게 관련되어 있는 주택의 세금에 대하여 한눈에 쉽게 알 수 있도록 정리한 「주택과 세금」 책자가 2021년 처음 발간된 이후 국민 여러분의 많은 관심을 받았습니다.
이에 2024년 법령 개정사항을 반영하여 「2024 주택과 세금」 책자를 발간하였으니 많은 국민들께 세금 길잡이로 널리 활용되어 “국민의 국세청, 신뢰받는 국세행정”을 이루는 데 도움이 되기를 바랍니다.

■ 본 책자는 국세청과 행정안전부에서 공동 작성하였습니다.
- 국세청：종합부동산세, 소득세(임대, 양도), 상속세 및 증여세
- 행정안전부：취득세, 재산세

■ 본 책자에 수록된 내용은 각 세법에서 규정하고 있는 내용을 알기 쉽게 요약하여 서술한 것으로 모든 법령규정을 담고 있지는 않습니다.

또한, 법령 개정, 예규의 변경 등으로 추후 적용규정이 본 책자의 내용과는 달라질 수 있으므로 실제 사안에 적용할 경우에는 반드시 관련 법령과 예규 등을 충분히 확인하시기 바랍니다.

■ 법령의 표기방식은 일부 아래와 같이 간소화하여 표기하였습니다.

■ 본 책자를 국세청과 행정안전부의 승인 없이 무단 복제해서는 안 됩니다."
4,"물어보기 부끄러워 묻지 못한 부동산 상식 (기본 개념부터 세금, 전월세, 경매까지 누구도 알려주지 않았던 부동산 상식 A to Z)",https://search.shopping.naver.com/book/catalog/39766570620,https://shopping-phinf.pstatic.net/main_3976657/39766570620.20230928091938.jpg,이찬종^서지원,16200,새로운제안,20230510,9788955336429,"부동산 지식은 스스로 관심을 갖고 공부하지 않으면 평생 모를 수도 있는 지식이다. 매매든, 임차든, 투자든 살면서 언젠가 꼭 한 번은 부동산 거래를 하게 된다. 최근 전세 사기 피해 뉴스가 자주 들린다. 아는 만큼 보이는 것이 부동산이다. 손해 보지 않기 위한 최소한의 부동산 공부는 필수다."
5,오늘부터는 오를 집만 보인다 (돈 버는 안목을 키우는 하루 30분 부동산 투자 습관),https://search.shopping.naver.com/book/catalog/47876938618,https://shopping-phinf.pstatic.net/main_4787693/47876938618.20240523071021.jpg,앨리스허(허미숙),18000,다산북스,20240522,9791130653150,"“하수는 재고 따지고
고수는 순식간에 결단한다!”

평범한 주부에서 대한민국 최고 소액투자 전문가까지,
임장의 여왕 앨리스허가 전하는 부자들의 일주일 루틴

부동산 투자계에서 ‘임장의 여왕’이란 별명으로 불리는 앨리스허는 전국 팔도에 안 가본 곳이 없다. 어느 도시든 이름만 들었다 하면 대장아파트 이름과 지역 특성을 줄줄 꿴다. 뿐만 아니라 수도권, 지방을 가리지 않고 놀라울 만큼의 소액으로 신축아파트, 정비사업 구역 등을 미리 선점해 놓기까지 했다. 도대체 앨리스허는 어떤 기준으로 임장을 다니기에 발길 닿는 곳마다 기회가 생기고, 또 어떻게 임장을 하기에 오를 집만 콕콕 집어내는 걸까? 그 비밀을 『오늘부터는 오를 집만 보인다』에 듬뿍 담아냈다. 
공급물량 데이터, 분양 정보 분석, 임장지도 만들기, 임장하기……. 앨리스허가 말하는 하나하나의 항목만 보면 이미 여러 부동산 투자서에서 반복한 이야기처럼 들리지만, 그녀의 정보는 남다르다. 공급물량 데이터 중에서도 어디에 주목해야 소액으로 기회를 잡을 수 있는지, 분양 정보를 통해 어떻게 행간의 숨은 의미를 파악하는지, 매수 타이밍이 또렷이 보이는 임장 방법이 무엇인지 등, 10년 경력이 그대로 녹아 있는 디테일한 공부법과 투자 전략이 가득하다. 또한 어느 요일에 무엇을 공부하고, 그 후에는 또 어떤 정보를 찾아보면 되는지 일 대 일 트레이너처럼 하루하루 해야 할 일을 꼼꼼히 알려준다."
6,부동산 계약 이렇게 쉬웠어? (대한민국의 모든 부동산 계약 초보를 위한 똑똑한 임차인 되는 필수 지식),https://search.shopping.naver.com/book/catalog/49255954626,https://shopping-phinf.pstatic.net/main_4925595/49255954626.20240720092046.jpg,송희창,19800,지혜로,20240725,9791187799351,"누구도 알려주지 않아
최고의 부동산 전문가가 나섰다!

최근 각종 언론을 통해 전세 사기 관련 뉴스가 쉴 새 없이 쏟아져 나오고 있다. 더욱 안타까운 것은 피해자의 대다수가 20, 30대 사회초년생이라는 것이다. 아이러니하게도 집은 우리가 살면서 가장 많이 머물게 되는 공간인데, 지금껏 우리는 내 집을 지키기 위해 가져야 할 최소한의 지식조차 갖추지 못했다. 학교에서도, 주변에서도 제대로 알려주는 사람이 없었던 것이다.
이 책의 저자는 20년 넘게 부동산 투자를 해오며 수많은 부동산 계약서를 작성했다. 그런데 아직도 계약서를 작성할 땐 처음부터 끝까지 여러 번 다시 읽는다. 그 이유는 부동산 계약서에는 내 권리에 관한 내용이 들어가고, 스스로 챙기지 않는다면 손해를 보기 십상이기 때문이다.
저자는 기성세대로서 올바른 부동산 계약법을 젊은이들에게 알려주지 못했다는 것에 미안함을 느낀다. 그래서 이 책에는 저자의 투자 경험을 살려 최대한 도움이 될 만한 내용을 모두 담으려 했다. 부동산 계약의 처음부터 끝까지, 투자자의 눈으로 일반인이 보지 못하는 포인트까지 모두 짚어냈고, 초보자가 쉽게 따라 할 수 있도록 관련 자료와 삽화까지 수록하였다. 누구든지 이 책을 읽는다면 더 이상 주변에 묻지 않더라도 스스로 부동산 계약 지식을 갖출 수 있을 것이다."
7,경매 권리분석 이렇게 쉬웠어? (생초보도 할 수 있는 초간단 권리분석법 대공개!),https://search.shopping.naver.com/book/catalog/32441514676,https://shopping-phinf.pstatic.net/main_3244151/32441514676.20230321163553.jpg,박희철(파이팅팔콘),16200,지혜로,20190115,9791187799078,"이 책 한 권만 읽어도 쉬운 물건으로 수익내기가 가능하다!
대한민국에서 가장 쉽고, 체계적인 권리분석 책!

권리분석이 어렵다고??
실전 투자자가 알려주는 가장 쉽고, 가장 체계적인 초간단 권리분석법!
이제 초보도 권리분석을 쉽게 정복하고, 쉽게 수익낼 수 있다.

대부분의 초보들이 권리분석 공부가 어려워 경매 투자를 중도 포기하는데, 그것은 권리분석이 어려워서가 아니라 어렵게 공부하기 때문이다. 책의 저자는 그동안 자신이 직접 투자했던 물건을 바탕으로, 실수하지 않고 쉽게 권리분석하는 방법과 쉬운 물건만으로도 부를 쌓은 자신의 노하우를 진하게 담아냈다.

경매 투자로 성공하려면 공부단계에서 멈추지 않고 첫 수익을 맛봐야만 한다. 실제 수익을 경험하기 위해서 공부는 쉽고 재밌게 해야 하는 것이다. 이 책을 정복한다면 당신은 고수익의 경매 투자의 길로 나아갈 수 있다."
8,한국 도시의 미래 (인문학자가 직접 탐사한 대한민국 임장 보고서),https://search.shopping.naver.com/book/catalog/45264924621,https://shopping-phinf.pstatic.net/main_4526492/45264924621.20240116081951.jpg,김시덕,22500,포레스트북스,20240117,9791193506295,"“100년 후에도 살아남을 도시는 과연 어디인가!”
경제·인문·지정학으로 새롭게 그려내는 
땅·집·도시를 둘러싼 부의 청사진

★〈어쩌다 어른〉·〈도시 읽어드립니다〉·〈김시덕의 도시야사〉 2700만 뷰 화제의 강연★
★강남에서 땅끝마을까지 143개 지역 완전 분석★
★2024 부동산 대전환을 준비하는 가장 현실적인 인사이트★

출생률 0.7%대에 접어든 인구 감소와 극심한 지방 소멸. 더욱더 극심해지는 집값 양극화 현상. 여기에 러·우 전쟁에 이어 이스라엘·하마스 사태로 이어지는 신냉전 발발까지. 2024년 대한민국은 각종 이슈로 대전환기를 맞고 있다. 그리고 이 모든 이슈의 중심에 도시가 있다. 도시는 인간 삶의 터전이 되어주는 원초적인 공간인 동시에 경제적, 정치적, 문화적 경계를 이루는 근원적인 존재다. 따라서 변화와 생존을 이야기할 때 도시는 가장 중요한 기준이 되어야 한다.
이 책 『한국 도시의 미래』의 효용이 바로 여기에 있다. 전작인 『우리는 어디서 살아야 하는가』를 통해 인문학자 특유의 날선 통찰을 보여주었던 김시덕 박사는 도시 개발에 관한 방대한 자료를 바탕으로 도시의 과거와 현재를 분석해내고, 직접 발로 뛰어 답사한 현장감 있는 사료를 증거 삼아 어디에서도 볼 수 없었던 유일무이한 ‘대한민국 도시의 미래 지도’를 완성해냈다. 대서울과 중부권 지역에 집중했던 전작과 달리 이번 책에서 그는 강남부터 땅끝마을까지 전국 143개 지역으로 범위를 확장해 정치, 행정, 문화, 사회를 넘나들며 오늘날 한국 사회에서 살아야 할 곳(LIVE)과 살 곳(BUY)을 고민해온 독자들에게 오랫동안 대한민국 구석구석을 답사해온 현장 전문가로서의 면모를 유감없이 내보인다.
미래를 예측하는 일은 쉽지 않다. 경기침체와 인플레이션, PF 대출 연장으로 인한 리스크, 총선 같은 정치적 이슈, 인구와 지역 간 격차를 해소하기 위해 시행되는 행정 정책들이 판단의 시야를 불명확하게 만든다. 그러나 이럴 때일수록 우리가 할 수 있는 일은 명확하다. 100여 년의 사료와 눈과 발로 직접 탐사한 현장 정보를 바탕으로 과거를 이해하고 현재를 수용하는 것. 그리고 거기서 얻은 인사이트를 바탕으로 우리에게 다가올 미래를 차근히 대비하는 일이다. 『한국 도시의 미래』에 부동산 가격의 해답은 없을지도 모른다. 하지만 우리가 어느 곳에 살든, 어떤 투자를 하든 자신만의 명쾌한 기준과 뚝심을 갖게 만들 것은 분명하다. 그리고 이 책을 통해 얻은 혜안과 지혜는 부와 생존을 위한 미래 전략을 다잡는 가장 탁월한 역량으로 우뚝 설 것이다."
9,"따라 하면 무조건 돈 버는 부동산 1인 법인 투자의 기술 (절세, 명의 분산부터 대출과 금융 전략까지)",https://search.shopping.naver.com/book/catalog/40827385632,https://shopping-phinf.pstatic.net/main_4082738/40827385632.20230906071259.jpg,유근용(초인 용쌤),20700,비즈니스북스,20230704,9791162543368,"월 2,000만 원 수익을 내는 진짜 고수들의 1인 법인 투자법!
부동산 법인 설립부터 주택, 주택 지분, 토지, 상가, 지산 투자에 이르기까지
부동산 1인 법인으로 돈 버는 모든 투자의 기술을 담았다!

돈도 스펙도 없던 반지하 배달 알바생은 어떻게 
부동산 1인 법인으로 월 2,000만 원 수익을 낼 수 있었을까?

★★★유튜브에서 화제가 된 용쌤의 1인 법인 일타 강의!★★★

수시로 바뀌는 부동산 정책과 그에 따라 요동치는 부동산 시장에서 투자자들의 마음은 타들어 가기만 한다. 개인 투자자들에 대한 규제가 심해지면서 법인에 대한 관심이 부쩍 늘어났으나 최근 법인 규제의 강도 또한 세지면서 고심이 커지고 있다. 시장마저 위축되면서 부동산 투자를 망설이는 이들도 많다. 
이 책의 저자이자 경·공매 달인 용쌤도 처음엔 부린이었다. 그러나 32세에 결혼하고도 반지하 월세방을 전전하던 신세, ‘이렇게 살다간 평생 전셋집 마련도 어렵다’는 위기감을 느꼈고 종잣돈 700만 원으로 시작해 7년 만인 41세에 내 집 마련은 물론 부동산 225건을 보유한 100억 자산가로 경제적 자유를 얻게 되었다. 
《따라 하면 무조건 돈 버는 부동산 1인 법인 투자의 기술》은 경매 97건, 공매 146건 낙찰이라는 입지전적 성과로 화제가 된 저자가 부동산 1인 법인으로 월 2,000만 원의 수익을 만들어낸 노하우를 담아냈다. 
부동산 투자를 좀 했다고 해도 법인 설립과 운영이 복잡할 것 같다는 막연한 거부감이 있거나 부동산 법인은 전문가만을 위한 것이라 어렵게 여겨 선뜻 시작하지 못한다. 그러나 이 책에서는 누구나 쉽게 부동산 1인 법인에 접근할 수 있도록 필수 지식과 절차를 정리해 법인의 높은 허들을 낮췄다. 몇 개월 만에 법인 투자로 수익을 낸 다양한 사례는 당신 역시 법인 대표, 나아가 부동산 부자가 될 수 있다는 자신감과 용기를 불어넣어줄 것이다."
