,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
0,MA010120220800001311,페리카나,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700100490000,1,대지,49,,서울특별시 종로구 낙원동 49,111102100001,서울특별시 종로구 삼일대로,434,1,1111013700100490000014132,,서울특별시 종로구 삼일대로 434-1,110320,03133,,,,126.988163693915,37.5735319468428
1,MA010120220800003146,깐부치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56194,김밥 및 기타 간이 음식점업,41,경기도,41210,광명시,41210640,소하1동,4121010400,소하동,4121010400113390001,1,대지,1339,1,경기도 광명시 소하동 1339-1,412103187036,경기도 광명시 소하로,81,,4121010400113390001000001,,경기도 광명시 소하로 81,423051,14316,,1,,126.883999818678,37.4476275527218
2,MA010120220800006500,김종용누룽지통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100190046,1,대지,19,46,서울특별시 성동구 행당동 19-46,112004109207,서울특별시 성동구 마조로5길,7,,1120010700100190046019611,한양대중목욕탕,서울특별시 성동구 마조로5길 7,133817,04760,,2,,127.040356840342,37.5599204715403
3,MA010120220800007898,코리안숯불닭바베큐,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41115,수원시 팔달구,41115700,지동,4111513900,지동,4111513900102210027,1,대지,221,27,경기도 수원시 팔달구 지동 221-27,411153175031,경기도 수원시 팔달구 세지로,369,,4111513900102210027019153,,경기도 수원시 팔달구 세지로 369,442837,16242,,,,127.026556187436,37.2835134702135
4,MA010120220800009322,페리카나치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11305,강북구,11305555,송천동,1130510100,미아동,1130510100103220025,1,대지,322,25,서울특별시 강북구 미아동 322-25,113054124093,서울특별시 강북구 도봉로29길,10,,1130510100103220025020436,,서울특별시 강북구 도봉로29길 10,142815,01176,,1,,127.027647662939,37.6207178739775
5,MA010120220800009839,매일치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110630,종로5.6가동,1111016700,충신동,1111016700100510000,1,대지,51,,서울특별시 종로구 충신동 51,111104100223,서울특별시 종로구 율곡로19길,9,,1111016700100510000012087,,서울특별시 종로구 율곡로19길 9,110844,03100,,,,127.005394955817,37.5759940632849
6,MA010120220800010432,팜카페앤드전통차,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015300,돈의동,1111015300101370000,1,대지,137,,서울특별시 종로구 돈의동 137,111104100056,서울특별시 종로구 돈화문로5가길,1,,1111015300101370000017924,피카디리플러스,서울특별시 종로구 돈화문로5가길 1,110808,03139,,6,,126.991208911517,37.5710170721997
7,MA010120220800012252,둘둘치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110710,숭인2동,1111017500,숭인동,1111017500102010004,1,대지,201,4,서울특별시 종로구 숭인동 201-4,111104100372,서울특별시 종로구 종로66길,18,,1111017500102010004001211,신원빌딩,서울특별시 종로구 종로66길 18,110825,03115,,1,,127.021778247911,37.5741306489708
8,MA010120220800012332,본투비,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110630,종로5.6가동,1111016200,효제동,1111016200103200002,1,대지,320,2,서울특별시 종로구 효제동 320-2,111103100002,서울특별시 종로구 대학로,5,,1111016200103200002012561,,서울특별시 종로구 대학로 5,110480,03129,,,,127.001706565983,37.5715838644375
9,MA010120220800012733,둘둘치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11350,노원구,11350560,월계1동,1135010200,월계동,1135010200100580002,1,대지,58,2,서울특별시 노원구 월계동 58-2,113504130310,서울특별시 노원구 석계로1길,10,,1135010200100580002019598,장수회관,서울특별시 노원구 석계로1길 10,139841,01902,,1,,127.064096588966,37.6156243801993
10,MA010120220800013462,페리카나,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110560,평창동,1111018300,평창동,1111018300102850002,1,대지,285,2,서울특별시 종로구 평창동 285-2,111103100023,서울특별시 종로구 평창문화로,28,1,1111018300102850002023037,,서울특별시 종로구 평창문화로 28-1,110847,03011,,,,126.964732219724,37.6044325826333
11,MA010120220800013598,비비큐대학로명륜점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017100,명륜2가,1111017100101490000,1,대지,149,,서울특별시 종로구 명륜2가 149,111103100008,서울특별시 종로구 성균관로,12,3,1111017100101490000008136,,서울특별시 종로구 성균관로 12-3,110530,03074,,1,,126.997926633395,37.5841754258227
12,MA010120220800013709,청진영양센타,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111012200,청진동,1111012200102060002,1,대지,206,2,서울특별시 종로구 청진동 206-2,111103100006,서울특별시 종로구 삼봉로,44,1,1111012200102060002000001,,서울특별시 종로구 삼봉로 44-1,110130,03156,,,,126.979679847144,37.5722154875393
13,MA010120220800015170,미스터짱닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,11620695,신림동,1162010200,신림동,1162010200114360017,1,대지,1436,17,서울특별시 관악구 신림동 1436-17,116204160496,서울특별시 관악구 신림동7길,21,,1162010200114360017013007,,서울특별시 관악구 신림동7길 21,151892,08760,,1,,126.926441356837,37.4860721471495
14,MA010120220800015924,티바두마리치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,28,인천광역시,28200,남동구,28200700,논현2동,2820011000,논현동,2820011000106430001,1,대지,643,1,인천광역시 남동구 논현동 643-1,282003153016,인천광역시 남동구 논현로,17,,2820011000104110044019417,범마을휴먼시아2단지상가,인천광역시 남동구 논현로 17,405788,21641,,,,126.708701563547,37.4036374661124
15,MA010120220800017992,소담치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41150,의정부시,41150568,신곡2동,4115010400,신곡동,4115010400107600005,1,대지,760,5,경기도 의정부시 신곡동 760-5,411504343344,경기도 의정부시 청사로5번길,26,,4115010400107600005017280,경남빌딩,경기도 의정부시 청사로5번길 26,480864,11775,,,,127.0696273988,37.7488043764693
16,MA010120220800019904,꽁스치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110670,창신1동,1111017400,창신동,1111017400104440007,1,대지,444,7,서울특별시 종로구 창신동 444-7,111104100343,서울특별시 종로구 종로46길,24,,1111017400104430005005923,,서울특별시 종로구 종로46길 24,110842,03119,,1,,127.010210447221,37.570556198587
17,MA010120220800021855,영광통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110515,청운효자동,1111011100,옥인동,1111011100100940000,1,대지,94,,서울특별시 종로구 옥인동 94,111102100002,서울특별시 종로구 필운대로,55,1,1111011100100940000030397,,서울특별시 종로구 필운대로 55-1,110035,03034,,,,126.968396062076,37.5810467193296
18,MA010120220800022387,BBQ,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110600,가회동,1111014900,원서동,1111014900100940000,1,대지,94,,서울특별시 종로구 원서동 94,111104100428,서울특별시 종로구 창덕궁길,84,,1111014900100950000032532,,서울특별시 종로구 창덕궁길 84,110260,03057,,1,,126.989395879696,37.5812013473926
19,MA010120220800023000,둘둘치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110530,사직동,1111012000,신문로1가,1111012000101560000,1,대지,156,,서울특별시 종로구 신문로1가 156,111104100189,서울특별시 종로구 세종대로21길,77,,1111012000101560000028589,,서울특별시 종로구 세종대로21길 77,110054,03186,,,,126.975524483721,37.5697917413301
20,MA010120220800023484,리킨호프,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102360001,1,대지,236,1,서울특별시 종로구 낙원동 236-1,111104100310,서울특별시 종로구 종로17길,52,,1111013700102380000013915,낙원빌딩,서울특별시 종로구 종로17길 52,110320,03140,,1,,126.988541022466,37.5724178893406
21,MA010120220800023663,더치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111012600,종로1가,1111012600100240000,1,대지,24,,서울특별시 종로구 종로1가 24,111103100013,서울특별시 종로구 종로,19,,1111012200100240000032840,르메이에르종로타운1,서울특별시 종로구 종로 19,110888,03157,,,,126.979902392746,37.5708388183663
22,MA010120220800023755,치킨하우스,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110600,가회동,1111014700,재동,1111014700100880000,1,대지,88,,서울특별시 종로구 재동 88,111103100004,서울특별시 종로구 북촌로,6,,1111014700100880000018618,,서울특별시 종로구 북촌로 6,110260,03059,,1,,126.985981538807,37.577504832744
23,MA010120220800025833,The닭더,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017300,명륜3가,1111017300100020024,1,대지,2,24,서울특별시 종로구 명륜3가 2-24,111104100089,서울특별시 종로구 명륜길,17,,1111017300100020024007307,,서울특별시 종로구 명륜길 17,110812,03071,,,,126.995744790465,37.5881394787604
